interaction_id,student_id,material_id,timestamp,duration_seconds,score,mastery_level,completed,competency,subject
625,1,8,2025-09-05,1980,5,0.286,False,Algebra Expressions and Linear Equations,Mathematics
2797,1,28,2025-09-06,3960,19,0.277,False,Introduction to Calculus Differentiation,Mathematics
3565,1,53,2025-09-06,4080,33,0.265,False,Kinematics and Projectile Motion,Physics
1056,1,30,2025-09-25,4020,33,0.215,True,Vectors and Transformations,Mathematics
2971,1,17,2025-09-25,3060,9,0.228,False,Geometry Circles Polygons and Constructions,Mathematics
2615,1,17,2025-10-08,3900,18,0.207,True,Geometry Circles Polygons and Constructions,Mathematics
3869,1,40,2025-10-09,2040,46,0.25,False,Light Reflection and Refraction,Physics
909,1,11,2025-10-11,2280,35,0.213,True,Statistics Data Collection and Representation,Mathematics
4441,1,54,2025-10-15,2820,39,0.256,True,Electricity AC Circuits and Electronics,Physics
871,1,46,2025-10-22,3060,15,0.21,True,Thermal Physics and Heat Transfer,Physics
3097,1,12,2025-10-23,2400,24,0.213,False,Statistics Data Collection and Representation,Mathematics
1793,1,58,2025-10-24,3600,21,0.291,True,Electromagnetic Induction,Physics
2625,1,7,2025-10-30,2340,46,0.394,True,Algebra Expressions and Linear Equations,Mathematics
2804,1,3,2025-11-10,3000,38,0.271,True,Whole Numbers and Number Theory,Mathematics
4557,1,5,2025-11-11,2520,20,0.337,False,Fractions Decimals and Percentages,Mathematics
580,1,25,2025-11-15,3780,28,0.237,True,Logarithmic and Exponential Functions,Mathematics
4113,1,15,2025-11-15,3120,23,0.263,True,Functions and Graphs,Mathematics
3990,1,60,2025-11-23,4260,32,0.266,True,Optics Interference and Diffraction,Physics
667,1,36,2025-11-24,2280,14,0.225,False,Forces and Newtons Laws,Physics
2345,1,40,2025-12-03,2820,10,0.194,True,Light Reflection and Refraction,Physics
4352,1,33,2025-12-09,2640,35,0.319,False,Physical Quantities and Units,Physics
3478,1,5,2025-12-17,2580,36,0.319,True,Fractions Decimals and Percentages,Mathematics
2802,1,44,2025-12-22,2160,38,0.266,True,Mechanics Work Energy and Power,Physics
4297,1,23,2025-12-27,4020,40,0.32,False,Algebra Polynomials and Rational Expressions,Mathematics
2814,1,31,2025-12-30,2820,35,0.229,True,Probability and Statistical Distributions,Mathematics
583,1,6,2026-01-13,2700,30,0.262,False,Fractions Decimals and Percentages,Mathematics
3972,1,33,2026-01-15,2880,33,0.361,True,Physical Quantities and Units,Physics
84,1,57,2026-01-18,4140,50,0.254,True,Atomic Structure and Nuclear Physics,Physics
1140,1,25,2026-02-02,2940,15,0.246,True,Logarithmic and Exponential Functions,Mathematics
2995,1,6,2026-02-02,2700,39,0.301,True,Fractions Decimals and Percentages,Mathematics
2742,1,34,2026-02-11,1440,25,0.338,True,Physical Quantities and Units,Physics
1806,1,54,2026-02-21,4080,50,0.255,True,Electricity AC Circuits and Electronics,Physics
3690,1,37,2026-02-22,3420,27,0.244,True,Energy Forms and Conservation,Physics
4094,2,41,2025-09-08,1560,35,0.287,True,Matter States and Properties,Physics
1604,2,13,2025-09-16,3240,37,0.255,True,Algebra Quadratic Equations and Inequalities,Mathematics
2859,2,58,2025-09-25,3720,42,0.418,True,Electromagnetic Induction,Physics
3587,2,7,2025-09-26,2760,37,0.356,False,Algebra Expressions and Linear Equations,Mathematics
115,2,9,2025-10-12,2880,11,0.285,False,Geometry Lines Angles and Triangles,Mathematics
2980,2,51,2025-10-20,3420,25,0.275,True,Electromagnetism Basic Concepts,Physics
601,2,11,2025-10-22,2580,31,0.302,False,Statistics Data Collection and Representation,Mathematics
1678,2,31,2025-10-23,3000,34,0.266,True,Probability and Statistical Distributions,Mathematics
2174,2,59,2025-10-29,3480,18,0.34,True,Electromagnetic Induction,Physics
1770,2,8,2025-11-05,3300,30,0.276,False,Algebra Expressions and Linear Equations,Mathematics
4802,2,3,2025-11-08,2700,28,0.312,False,Whole Numbers and Number Theory,Mathematics
2048,2,58,2025-11-20,3900,20,0.241,True,Electromagnetic Induction,Physics
1548,2,31,2025-11-21,2700,19,0.19,True,Probability and Statistical Distributions,Mathematics
1007,2,46,2025-11-25,2940,32,0.27,False,Thermal Physics and Heat Transfer,Physics
3464,2,26,2025-11-29,2100,18,0.299,False,Logarithmic and Exponential Functions,Mathematics
2278,2,35,2025-12-07,2340,43,0.237,True,Forces and Newtons Laws,Physics
3801,2,26,2025-12-21,3180,41,0.329,True,Logarithmic and Exponential Functions,Mathematics
3931,2,49,2025-12-26,3420,39,0.284,False,Electricity DC Circuits and Ohms Law,Physics
1687,2,26,2025-12-27,3240,21,0.253,False,Logarithmic and Exponential Functions,Mathematics
1076,2,56,2025-12-31,3420,15,0.2,False,Atomic Structure and Nuclear Physics,Physics
425,2,11,2026-01-01,1800,14,0.242,True,Statistics Data Collection and Representation,Mathematics
263,2,18,2026-01-02,3120,32,0.224,True,Geometry Circles Polygons and Constructions,Mathematics
