material_id,title,subject,competency,grade_level,difficulty,content_type,duration_minutes,file_path,file_url,description
1,"S1 Mathematics: Introduction to Sets and Venn Diagrams",Mathematics,"Sets and Venn Diagrams",S1,Beginner,PDF,45,/static/materials/math/s1/sets-introduction.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s1/sets-and-venn-diagrams-intro.pdf,"Introduces the concept of sets, subsets, and Venn diagram representation of relationships between sets."
2,"S1 Mathematics: Operations on Sets",Mathematics,"Sets and Venn Diagrams",S1,Intermediate,PDF,50,/static/materials/math/s1/sets-operations.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s1/sets-union-intersection-complement.pdf,"Covers union, intersection, complement and difference of sets using Venn diagrams and real-world examples."
3,"S1 Mathematics: Whole Numbers, LCM and HCF",Mathematics,"Whole Numbers and Number Theory",S1,Beginner,PDF,40,/static/materials/math/s1/whole-numbers-lcm-hcf.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s1/whole-numbers-lcm-hcf.pdf,"Explores divisibility rules, prime factorisation, lowest common multiple and highest common factor."
4,"S1 Mathematics: Number Patterns and Sequences",Mathematics,"Whole Numbers and Number Theory",S1,Intermediate,PDF,35,/static/materials/math/s1/number-patterns.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s1/number-patterns-and-sequences.pdf,"Investigates arithmetic and geometric number patterns and their real-world applications."
5,"S1 Mathematics: Fractions and Mixed Numbers",Mathematics,"Fractions Decimals and Percentages",S1,Beginner,PDF,45,/static/materials/math/s1/fractions-mixed-numbers.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s1/fractions-and-mixed-numbers.pdf,"Covers addition, subtraction, multiplication and division of fractions and mixed numbers."
6,"S1 Mathematics: Decimals and Percentages",Mathematics,"Fractions Decimals and Percentages",S1,Intermediate,PDF,40,/static/materials/math/s1/decimals-percentages.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s1/decimals-and-percentages.pdf,"Converts between fractions, decimals and percentages and applies them to profit, loss and discount problems."
7,"S1 Mathematics: Algebraic Expressions and Simplification",Mathematics,"Algebra Expressions and Linear Equations",S1,Beginner,PDF,50,/static/materials/math/s1/algebraic-expressions.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s1/algebraic-expressions-and-simplification.pdf,"Introduces algebraic expressions, collecting like terms, expansion and simplification techniques."
8,"S1 Mathematics: Solving Linear Equations",Mathematics,"Algebra Expressions and Linear Equations",S1,Intermediate,PDF,45,/static/materials/math/s1/linear-equations.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s1/solving-linear-equations.pdf,"Develops skills for solving linear equations and constructing equations from word problems."
9,"S1 Mathematics: Lines, Angles and Triangle Properties",Mathematics,"Geometry Lines Angles and Triangles",S1,Beginner,PDF,55,/static/materials/math/s1/lines-angles-triangles.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s1/lines-angles-and-triangle-properties.pdf,"Studies types of lines, angle relationships, properties of triangles and conditions for congruence."
10,"S1 Mathematics: Quadrilaterals and Polygons",Mathematics,"Geometry Lines Angles and Triangles",S1,Intermediate,PDF,50,/static/materials/math/s1/quadrilaterals-polygons.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s1/quadrilaterals-and-polygons.pdf,"Explores properties of special quadrilaterals, interior angles of polygons and their applications."
11,"S1 Mathematics: Data Collection and Bar Charts",Mathematics,"Statistics Data Collection and Representation",S1,Beginner,PDF,35,/static/materials/math/s1/data-collection-bar-charts.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s1/data-collection-and-bar-charts.pdf,"Introduces primary and secondary data collection methods, tally charts and bar chart construction."
12,"S1 Mathematics: Frequency Tables and Pie Charts",Mathematics,"Statistics Data Collection and Representation",S1,Intermediate,PDF,40,/static/materials/math/s1/frequency-pie-charts.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s1/frequency-tables-and-pie-charts.pdf,"Creates and interprets grouped frequency tables, pie charts and pictograms."
13,"S2 Mathematics: Quadratic Equations by Factorisation",Mathematics,"Algebra Quadratic Equations and Inequalities",S2,Intermediate,PDF,50,/static/materials/math/s2/quadratic-factorisation.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s2/quadratic-equations-factorisation.pdf,"Solves quadratic equations by factorisation and completing the square with graphical interpretation."
14,"S2 Mathematics: The Quadratic Formula and Inequalities",Mathematics,"Algebra Quadratic Equations and Inequalities",S2,Advanced,PDF,55,/static/materials/math/s2/quadratic-formula-inequalities.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s2/quadratic-formula-and-inequalities.pdf,"Applies the quadratic formula and solves linear and quadratic inequalities on a number line."
15,"S2 Mathematics: Introduction to Functions",Mathematics,"Functions and Graphs",S2,Intermediate,PDF,45,/static/materials/math/s2/intro-functions.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s2/introduction-to-functions.pdf,"Defines functions, domain, range, and introduces function notation and inverse functions."
16,"S2 Mathematics: Linear and Quadratic Graphs",Mathematics,"Functions and Graphs",S2,Advanced,PDF,50,/static/materials/math/s2/linear-quadratic-graphs.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s2/linear-and-quadratic-graphs.pdf,"Draws and interprets linear and quadratic graphs including finding roots, intercepts and vertices."
17,"S2 Mathematics: Circle Theorems and Properties",Mathematics,"Geometry Circles Polygons and Constructions",S2,Intermediate,PDF,55,/static/materials/math/s2/circle-theorems.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s2/circle-theorems-and-properties.pdf,"Proves and applies circle theorems including tangent, chord, angle at centre and cyclic quadrilateral theorems."
18,"S2 Mathematics: Geometric Constructions and Loci",Mathematics,"Geometry Circles Polygons and Constructions",S2,Advanced,PDF,50,/static/materials/math/s2/constructions-loci.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s2/geometric-constructions-and-loci.pdf,"Constructs geometric figures using ruler and compass and investigates loci of moving points."
19,"S2 Mathematics: Introduction to Trigonometric Ratios",Mathematics,"Trigonometry Introduction to Ratios",S2,Intermediate,PDF,45,/static/materials/math/s2/trig-ratios-intro.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s2/trigonometric-ratios-introduction.pdf,"Defines sine, cosine and tangent ratios and applies them to find missing sides and angles."
20,"S2 Mathematics: Applying Trigonometry in Right Triangles",Mathematics,"Trigonometry Introduction to Ratios",S2,Advanced,PDF,50,/static/materials/math/s2/trig-right-triangles.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s2/applying-trigonometry-right-triangles.pdf,"Solves multi-step trigonometry problems in right-angled triangles and real-world contexts."
21,"S2 Mathematics: Mean, Median and Mode",Mathematics,"Statistics Measures of Central Tendency",S2,Intermediate,PDF,40,/static/materials/math/s2/mean-median-mode.pdf,https://elearning.reb.rw/assets/pdfs/mathematics/s2/mean-median-mode.pdf,"Calculates and interprets mean, median and mode from ungrouped and grouped data sets."
