interaction_id,student_id,material_id,timestamp,duration_seconds,score,mastery_level,completed,competency,subject
330,1,9,2025-09-10,900,18,0.226,False,Geometry and Measurement,Mathematics
1029,1,5,2025-09-10,2220,8,0.231,True,Forces and Energy,Physics
494,1,23,2025-09-14,840,21,0.163,False,Mechanics and Motion,Physics
592,1,46,2025-09-20,960,20,0.141,True,Mechanics and Motion,Physics
298,1,33,2025-09-24,3660,11,0.281,True,Scientific Investigation,Physics
221,1,20,2025-09-27,3480,35,0.329,False,Algebra and Equations,Mathematics
691,1,6,2025-10-02,1920,46,0.323,False,Ratios and Proportions,Mathematics
504,1,78,2025-10-08,2580,42,0.336,True,Scientific Investigation,Physics
434,1,28,2025-10-10,2100,32,0.269,True,Numbers and Operations,Mathematics
525,1,32,2025-10-12,1920,47,0.192,True,Mechanics and Motion,Physics
843,1,27,2025-10-15,1920,22,0.286,True,Light and Sound,Physics
1143,1,11,2025-10-16,1920,50,0.381,True,Ratios and Proportions,Mathematics
186,1,59,2025-10-18,3780,24,0.249,True,Algebra and Equations,Mathematics
178,1,45,2025-10-21,1920,18,0.241,False,Light and Sound,Physics
465,1,6,2025-10-31,2700,28,0.266,False,Ratios and Proportions,Mathematics
188,1,21,2025-11-19,2460,25,0.268,True,Matter and Heat,Physics
1075,1,71,2025-11-22,1680,31,0.331,True,Light and Sound,Physics
741,1,14,2025-11-23,1860,32,0.304,True,Light and Sound,Physics
1200,1,55,2025-11-28,2220,9,0.293,False,Numbers and Operations,Mathematics
26,1,39,2025-12-04,4140,26,0.238,False,Scientific Investigation,Physics
55,1,83,2025-12-07,2520,34,0.252,True,Light and Sound,Physics
1017,1,65,2025-12-10,3660,42,0.263,True,Functions and Graphs,Mathematics
984,1,69,2025-12-16,3180,43,0.281,True,Matter and Heat,Physics
224,1,45,2025-12-21,1560,28,0.274,True,Light and Sound,Physics
279,1,10,2025-12-21,2700,44,0.294,False,Scientific Investigation,Physics
164,1,42,2025-12-26,960,34,0.262,True,Numbers and Operations,Mathematics
52,2,57,2025-09-07,2640,37,0.321,True,Algebra and Equations,Mathematics
699,2,38,2025-09-08,4140,40,0.432,False,Light and Sound,Physics
302,2,78,2025-09-12,2940,14,0.274,False,Scientific Investigation,Physics
1180,2,59,2025-09-22,3720,53,0.494,True,Algebra and Equations,Mathematics
501,2,87,2025-09-24,540,37,0.243,True,Light and Sound,Physics
653,2,100,2025-09-25,2940,24,0.334,True,Light and Sound,Physics
884,2,67,2025-09-27,1920,54,0.602,True,Ratios and Proportions,Mathematics
414,2,17,2025-09-28,3360,40,0.37,True,Functions and Graphs,Mathematics
76,2,32,2025-10-06,1860,33,0.298,False,Mechanics and Motion,Physics
605,2,26,2025-10-14,2040,35,0.419,False,Scientific Investigation,Physics
144,2,96,2025-10-16,1560,29,0.308,True,Mechanics and Motion,Physics
456,2,12,2025-10-18,1560,20,0.317,True,Forces and Energy,Physics
904,2,90,2025-10-19,960,37,0.428,False,Light and Sound,Physics
549,2,81,2025-10-21,840,46,0.432,True,Geometry and Measurement,Mathematics
336,2,25,2025-10-24,2520,35,0.271,False,Ratios and Proportions,Mathematics
827,2,76,2025-10-24,2820,60,0.455,True,Algebra and Equations,Mathematics
100,2,9,2025-10-27,1500,45,0.343,False,Geometry and Measurement,Mathematics
428,2,54,2025-10-27,3120,30,0.352,True,Ratios and Proportions,Mathematics
453,2,47,2025-10-28,780,55,0.535,True,Ratios and Proportions,Mathematics
1064,2,31,2025-10-28,1260,48,0.375,True,Functions and Graphs,Mathematics
704,2,42,2025-10-29,720,39,0.378,False,Numbers and Operations,Mathematics
189,2,70,2025-11-11,2640,46,0.443,False,Algebra and Equations,Mathematics
374,2,55,2025-11-16,1740,14,0.277,True,Numbers and Operations,Mathematics
115,2,80,2025-11-27,1800,41,0.287,True,Electricity and Magnetism,Physics
1172,2,98,2025-12-04,1800,16,0.31,True,Statistics and Probability,Mathematics
838,2,70,2025-12-06,3900,30,0.449,False,Algebra and Equations,Mathematics
436,2,44,2025-12-16,960,30,0.401,True,Ratios and Proportions,Mathematics
247,2,72,2025-12-18,3240,43,0.391,False,Geometry and Measurement,Mathematics
243,2,97,2025-12-26,4500,48,0.326,False,Functions and Graphs,Mathematics
1080,3,39,2025-09-02,2640,34,0.246,True,Scientific Investigation,Physics
652,3,13,2025-09-07,3900,20,0.287,True,Geometry and Measurement,Mathematics
381,3,57,2025-09-08,3360,35,0.313,True,Algebra and Equations,Mathematics
3,3,93,2025-09-10,1620,18,0.314,True,Ratios and Proportions,Mathematics
545,3,50,2025-09-20,1740,23,0.326,True,Algebra and Equations,Mathematics
120,3,7,2025-09-22,1680,44,0.397,True,Ratios and Proportions,Mathematics
1177,3,55,2025-09-27,1560,35,0.274,True,Numbers and Operations,Mathematics
433,3,12,2025-09-30,1260,27,0.274,False,Forces and Energy,Physics
311,3,37,2025-10-05,1740,38,0.309,True,Algebra and Equations,Mathematics
277,3,43,2025-10-16,720,30,0.441,True,Ratios and Proportions,Mathematics
481,3,23,2025-10-16,900,45,0.351,True,Mechanics and Motion,Physics
543,3,95,2025-10-17,2400,55,0.498,False,Ratios and Proportions,Mathematics
273,3,87,2025-10-18,480,42,0.328,False,Light and Sound,Physics
93,3,67,2025-10-19,1440,18,0.393,False,Ratios and Proportions,Mathematics
1005,3,68,2025-10-19,3540,28,0.265,True,Matter and Heat,Physics
587,3,30,2025-11-10,1980,68,0.535,False,Ratios and Proportions,Mathematics
532,3,37,2025-11-18,1200,45,0.35,False,Algebra and Equations,Mathematics
1083,3,26,2025-11-28,2220,33,0.273,True,Scientific Investigation,Physics
105,3,6,2025-12-10,2520,30,0.379,True,Ratios and Proportions,Mathematics
537,3,53,2025-12-12,480,63,0.448,True,Ratios and Proportions,Mathematics
418,3,17,2025-12-18,2460,26,0.332,True,Functions and Graphs,Mathematics
209,3,32,2025-12-19,2400,15,0.248,False,Mechanics and Motion,Physics
443,3,19,2025-12-21,1860,42,0.332,True,Functions and Graphs,Mathematics
1117,3,89,2025-12-21,1200,12,0.262,True,Numbers and Operations,Mathematics
738,3,92,2025-12-28,1080,31,0.353,False,Algebra and Equations,Mathematics
458,4,18,2025-09-04,2700,28,0.223,True,Ratios and Proportions,Mathematics
475,4,9,2025-09-09,900,21,0.216,True,Geometry and Measurement,Mathematics
554,4,17,2025-09-16,2280,22,0.28,False,Functions and Graphs,Mathematics
131,4,44,2025-09-19,1320,7,0.207,False,Ratios and Proportions,Mathematics
1012,4,30,2025-09-24,1920,50,0.338,True,Ratios and Proportions,Mathematics
557,4,67,2025-10-07,1860,39,0.318,False,Ratios and Proportions,Mathematics
1045,4,61,2025-10-08,2520,22,0.233,False,Functions and Graphs,Mathematics
1043,4,70,2025-10-11,2340,16,0.262,True,Algebra and Equations,Mathematics
53,4,60,2025-10-17,1500,24,0.22,True,Functions and Graphs,Mathematics
1001,4,80,2025-10-19,1800,14,0.164,True,Electricity and Magnetism,Physics
720,4,72,2025-10-21,3660,27,0.286,True,Geometry and Measurement,Mathematics
1059,4,89,2025-10-23,1500,19,0.236,True,Numbers and Operations,Mathematics
304,4,59,2025-10-29,4620,13,0.216,True,Algebra and Equations,Mathematics
71,4,94,2025-10-31,3900,20,0.163,True,Matter and Heat,Physics
421,4,83,2025-11-07,2400,28,0.328,True,Light and Sound,Physics
800,4,85,2025-11-07,1380,30,0.277,True,Scientific Investigation,Physics
647,4,63,2025-11-08,2640,7,0.254,True,Geometry and Measurement,Mathematics
363,4,45,2025-11-19,1320,32,0.247,True,Light and Sound,Physics
520,4,54,2025-12-12,3060,41,0.275,True,Ratios and Proportions,Mathematics
185,4,60,2025-12-15,1140,37,0.227,True,Functions and Graphs,Mathematics
488,4,9,2025-12-21,900,20,0.223,True,Geometry and Measurement,Mathematics
961,5,71,2025-09-05,3060,52,0.523,True,Light and Sound,Physics
866,5,73,2025-09-08,960,39,0.358,True,Scientific Investigation,Physics
618,5,63,2025-09-10,2520,39,0.338,True,Geometry and Measurement,Mathematics
258,5,54,2025-09-13,3060,43,0.365,True,Ratios and Proportions,Mathematics
1170,5,74,2025-09-16,2460,61,0.455,True,Statistics and Probability,Mathematics
548,5,18,2025-09-18,2340,33,0.363,True,Ratios and Proportions,Mathematics
449,5,30,2025-09-21,2400,46,0.377,True,Ratios and Proportions,Mathematics
87,5,77,2025-10-12,2640,37,0.3,True,Numbers and Operations,Mathematics
513,5,72,2025-10-13,2760,32,0.315,False,Geometry and Measurement,Mathematics
889,5,80,2025-10-19,1380,32,0.323,True,Electricity and Magnetism,Physics
881,5,100,2025-10-23,3720,51,0.42,True,Light and Sound,Physics
480,5,70,2025-10-25,2220,23,0.322,True,Algebra and Equations,Mathematics
37,5,45,2025-10-26,1200,18,0.349,False,Light and Sound,Physics
775,5,53,2025-11-01,720,58,0.46,False,Ratios and Proportions,Mathematics
244,5,98,2025-11-06,1920,15,0.365,False,Statistics and Probability,Mathematics
700,5,51,2025-11-06,660,33,0.333,False,Matter and Heat,Physics
129,5,28,2025-11-19,1980,28,0.36,False,Numbers and Operations,Mathematics
744,5,30,2025-12-08,1980,27,0.407,True,Ratios and Proportions,Mathematics
1058,5,6,2025-12-18,2820,35,0.458,True,Ratios and Proportions,Mathematics
868,5,85,2025-12-26,1440,39,0.385,False,Scientific Investigation,Physics
595,5,67,2025-12-30,1440,54,0.398,True,Ratios and Proportions,Mathematics
565,6,80,2025-09-09,1560,4,0.279,True,Electricity and Magnetism,Physics
1020,6,58,2025-09-11,2280,24,0.315,True,Electricity and Magnetism,Physics
562,6,39,2025-09-12,3600,21,0.206,True,Scientific Investigation,Physics
659,6,2,2025-09-13,1260,33,0.246,True,Numbers and Operations,Mathematics
1023,6,60,2025-09-22,2040,14,0.309,True,Functions and Graphs,Mathematics
1150,6,94,2025-09-22,4440,18,0.246,True,Matter and Heat,Physics
1103,6,96,2025-10-02,1380,34,0.265,False,Mechanics and Motion,Physics
267,6,60,2025-10-11,1380,32,0.255,True,Functions and Graphs,Mathematics
862,6,41,2025-10-12,2580,10,0.229,True,Numbers and Operations,Mathematics
40,6,40,2025-10-13,4380,28,0.298,True,Electricity and Magnetism,Physics
967,6,77,2025-10-13,3420,23,0.281,True,Numbers and Operations,Mathematics
239,6,21,2025-10-17,3240,18,0.252,True,Matter and Heat,Physics
429,6,64,2025-10-17,2340,26,0.247,True,Algebra and Equations,Mathematics
912,6,84,2025-10-23,4500,34,0.241,True,Statistics and Probability,Mathematics
523,6,80,2025-11-17,2040,23,0.261,True,Electricity and Magnetism,Physics
790,6,94,2025-11-18,2460,39,0.254,True,Matter and Heat,Physics
364,6,35,2025-11-20,1740,25,0.197,True,Algebra and Equations,Mathematics
1127,6,56,2025-11-30,1980,36,0.328,False,Functions and Graphs,Mathematics
102,6,98,2025-12-02,2280,24,0.252,True,Statistics and Probability,Mathematics
662,6,19,2025-12-06,2100,30,0.291,False,Functions and Graphs,Mathematics
892,6,86,2025-12-07,1680,24,0.205,True,Light and Sound,Physics
689,6,86,2025-12-09,1380,34,0.251,True,Light and Sound,Physics
815,6,36,2025-12-13,2880,20,0.242,True,Ratios and Proportions,Mathematics
135,6,65,2025-12-25,3480,9,0.271,False,Functions and Graphs,Mathematics
849,7,71,2025-09-03,2580,59,0.638,False,Light and Sound,Physics
541,7,81,2025-09-05,1260,34,0.374,False,Geometry and Measurement,Mathematics
982,7,38,2025-09-10,4380,66,0.645,True,Light and Sound,Physics
965,7,30,2025-09-11,3120,38,0.369,False,Ratios and Proportions,Mathematics
341,7,86,2025-09-12,1800,41,0.483,False,Light and Sound,Physics
648,7,45,2025-09-14,1740,53,0.531,True,Light and Sound,Physics
588,7,78,2025-09-24,2820,41,0.402,True,Scientific Investigation,Physics
430,7,13,2025-10-01,3540,40,0.353,False,Geometry and Measurement,Mathematics
1171,7,26,2025-10-01,1920,43,0.479,False,Scientific Investigation,Physics
1192,7,10,2025-10-02,2940,51,0.49,True,Scientific Investigation,Physics
306,7,24,2025-10-12,3780,40,0.318,True,Numbers and Operations,Mathematics
4,7,27,2025-10-23,1200,33,0.3,True,Light and Sound,Physics
139,7,87,2025-10-25,780,39,0.313,True,Light and Sound,Physics
966,7,26,2025-10-26,1560,54,0.472,True,Scientific Investigation,Physics
1027,7,16,2025-10-26,4020,16,0.299,True,Forces and Energy,Physics
530,7,50,2025-10-28,1380,47,0.399,True,Algebra and Equations,Mathematics
