material_id,title,subject,competency,grade_level,difficulty,content_type,duration_minutes,file_path
1,Mathematics - Numbers and Operations - Lesson 9,Mathematics,Algebra and Equations,S1,Beginner,Interactive Exercise,16,/materials/mathematics/lesson_1.pdf
2,Mathematics - Ratios and Proportions - Lesson 14,Mathematics,Numbers and Operations,S1,Beginner,PDF,24,/materials/mathematics/lesson_2.pdf
3,Mathematics - Ratios and Proportions - Lesson 7,Mathematics,Functions and Graphs,S3,Advanced,Interactive Exercise,36,/materials/mathematics/lesson_3.pdf
4,Mathematics - Statistics and Probability - Lesson 19,Mathematics,Geometry and Measurement,S1,Beginner,Interactive Exercise,37,/materials/mathematics/lesson_4.pdf
5,Physics - Electricity and Magnetism - Lesson 5,Physics,Forces and Energy,S2,Beginner,PDF,34,/materials/physics/lesson_5.pdf
6,Mathematics - Geometry and Measurement - Lesson 12,Mathematics,Ratios and Proportions,S2,Beginner,Interactive Exercise,39,/materials/mathematics/lesson_6.pdf
7,Mathematics - Statistics and Probability - Lesson 3,Mathematics,Ratios and Proportions,S2,Advanced,Interactive Exercise,33,/materials/mathematics/lesson_7.pdf
8,Mathematics - Functions and Graphs - Lesson 3,Mathematics,Numbers and Operations,S3,Beginner,Video,15,/materials/mathematics/lesson_8.pdf
9,Mathematics - Numbers and Operations - Lesson 13,Mathematics,Geometry and Measurement,S2,Advanced,Video,20,/materials/mathematics/lesson_9.pdf
10,Physics - Electricity and Magnetism - Lesson 7,Physics,Scientific Investigation,S2,Advanced,Interactive Exercise,51,/materials/physics/lesson_10.pdf
11,Mathematics - Ratios and Proportions - Lesson 6,Mathematics,Ratios and Proportions,S3,Beginner,PDF,39,/materials/mathematics/lesson_11.pdf
12,Physics - Electricity and Magnetism - Lesson 18,Physics,Forces and Energy,S3,Intermediate,PDF,24,/materials/physics/lesson_12.pdf
13,Mathematics - Geometry and Measurement - Lesson 13,Mathematics,Geometry and Measurement,S1,Beginner,Interactive Exercise,55,/materials/mathematics/lesson_13.pdf
14,Physics - Forces and Energy - Lesson 16,Physics,Light and Sound,S3,Intermediate,PDF,26,/materials/physics/lesson_14.pdf
15,Mathematics - Algebra and Equations - Lesson 18,Mathematics,Ratios and Proportions,S2,Advanced,Interactive Exercise,37,/materials/mathematics/lesson_15.pdf
16,Physics - Electricity and Magnetism - Lesson 8,Physics,Forces and Energy,S3,Intermediate,PDF,58,/materials/physics/lesson_16.pdf
17,Mathematics - Numbers and Operations - Lesson 5,Mathematics,Functions and Graphs,S1,Advanced,Video,48,/materials/mathematics/lesson_17.pdf
18,Mathematics - Statistics and Probability - Lesson 13,Mathematics,Ratios and Proportions,S2,Advanced,Video,45,/materials/mathematics/lesson_18.pdf
19,Mathematics - Functions and Graphs - Lesson 4,Mathematics,Functions and Graphs,S3,Intermediate,Interactive Exercise,31,/materials/mathematics/lesson_19.pdf
